CD79A,CD8A,CD19,MS4A1,MZB1,FCRL4,FCRL1,FCRL5,TLR10
40.5052,72.0068,1.9675,6.2821,50.9582,0.6275,1.0152,11.8899,8.1991
455.77,367.716,60.5144,251.07,372.141,4.3163,22.0859,133.559,56.4356
