CD79A,CD8A,CD19,MS4A1,MZB1,FCRL4,FCRL1,TLR10
24.049575,56.0604,2.33215,3.44525,39.2686,0,0.316225,5.52255
322.26725,408.35375,27.62675,58.5223,531.30075,2.644025,3.842125,28.68165
