CD79A,CD8A,CD19,MS4A1,MZB1,FCRL4,FCRL1,FCRL5,TLR10
15.44455,58.22915,0.75915,3.0163,14.05375,0,0.30175,2.7253,3.83455
527.064,783.77,72.72175,155.4635,600.461,1.97505,12.8032,146.485,32.0875
