CD79A,CD8A,CD19,MS4A1,MZB1,FCRL4,FCRL1,TLR10
2.751,22.2354,0.6974,0.4417,0.5016,0,0,25.7549
7.9636,78.4697,2.9181,2.687,6.2931,0,0.7446,103.664
