CD79A,CD8A,CD19,MS4A1,MZB1,FCRL4,FCRL1,FCRL5,TLR10
11.8106,60.4396,0.5953,3.3569,82.7453,0,0.3357,1.3816,4.1697
67.1397,166.9341491,7.392,34.9699,308.772,0.4219,3.3293,11.3911,17.2513
