CD8A,CD19,MS4A1,MZB1,FCRL4,FCRL1,TLR10,CD79A
121.48,12.0947,29.5612,194.929,1.2626,3.5261,19.1858,154.93
472.16,116.071,340.316,1313.52,9.74265,28.3109,94.2857,922.19
